A_ID,S_ID,x_value
2185260,"8_30_2_2_10_1",1
2786347,"8_30_2_12_16_13",1
3255590,"8_30_2_20_11_13",1
3444060,"8_30_2_9_4_1",1
3465044,"8_30_2_13_15_35",1
3561384,"8_30_2_1_11_1",1
3561626,"8_30_2_17_8_63",1
3563945,"8_30_2_2_21_1",1
3585021,"8_30_2_4_10_1",1
3591155,"8_30_2_4_10_1",1
3594639,"8_30_2_10_9_1",1
3619276,"8_30_2_9_3_1",1
3630563,"8_30_2_13_15_35",1
3640451,"10_30_2_18_59_13",1
3667318,"8_30_2_9_3_1",1
3671330,"8_30_2_2_22_35",1
3676665,"6.5_30_1_15_2_51",1
3678780,"8_30_2_9_3_1",1
3680559,"8_30_2_4_18_35",1
3692389,"8_30_2_9_3_1",1
3692487,"8_30_2_17_8_63",1
3734256,"10_30_2_5_27_1",1
3773622,"8_30_2_2_9_1",1
3784239,"8_30_2_1_10_31",1
3784262,"9_30_2_10_2_31",1
3872688,"8_30_2_1_21_31",1
3872691,"8_30_2_3_11_1",1
3872694,"8_30_2_3_11_1",1
3895315,"8_30_2_18_17_63",1
3915192,"8_30_2_1_10_31",1
